customer_id,tenure_months,monthly_spend,support_tickets_90d,late_payments_12m,digital_sessions_30d,contract_type,payment_method,satisfaction_score,discount_rate,products_owned,churn
NOV-00051,6,94.63,1,1,19,annuel,carte,6.6,0.0,2,0
NOV-00052,66,86.82,2,1,21,mensuel,prelevement,8.0,0.0,3,0
NOV-00053,5,64.03,2,0,13,mensuel,prelevement,7.7,0.0,2,0
NOV-00054,11,77.3,3,1,16,annuel,prelevement,8.3,0.0,4,0
NOV-00055,57,103.47,1,1,16,annuel,virement,7.9,0.05,1,0
NOV-00056,65,88.85,0,1,17,annuel,prelevement,8.1,0.2,4,0
NOV-00057,17,91.25,2,0,17,mensuel,prelevement,7.4,0.05,2,0
NOV-00058,69,60.43,1,0,16,annuel,prelevement,8.8,0.0,2,0
NOV-00059,67,34.15,0,0,14,mensuel,carte,9.3,0.0,2,0
NOV-00060,6,129.6,1,1,16,mensuel,carte,8.3,0.0,4,0
NOV-00061,47,127.86,1,0,18,bisannuel,carte,7.4,0.0,4,0
NOV-00062,69,111.9,3,1,18,mensuel,carte,6.6,0.0,2,0
NOV-00063,6,19.94,1,0,21,annuel,prelevement,5.8,0.05,1,0
NOV-00064,66,144.59,0,0,15,bisannuel,carte,7.2,0.05,4,0
NOV-00065,31,85.72,0,0,13,annuel,carte,8.0,0.0,2,0
NOV-00066,53,73.99,1,1,16,bisannuel,prelevement,9.5,0.0,3,0
NOV-00067,29,134.15,0,1,20,bisannuel,prelevement,,0.0,3,0
NOV-00068,54,34.83,1,0,11,bisannuel,carte,6.1,0.0,2,0
NOV-00069,39,87.05,1,1,17,annuel,carte,8.5,0.0,1,1
NOV-00070,50,41.56,4,0,15,mensuel,carte,7.6,0.0,3,0
NOV-00071,68,147.23,2,0,18,bisannuel,carte,9.5,0.05,2,0
NOV-00072,50,72.78,2,0,14,bisannuel,carte,9.4,0.05,2,0
NOV-00073,51,19.62,2,0,18,bisannuel,prelevement,6.9,0.0,2,0
NOV-00074,8,67.69,0,0,14,mensuel,prelevement,6.2,0.1,1,0
NOV-00075,64,121.1,2,1,21,annuel,carte,7.5,0.0,1,0
NOV-00076,36,42.53,1,2,18,mensuel,prelevement,7.3,0.0,4,1
NOV-00077,53,126.01,3,0,21,annuel,carte,8.1,0.0,4,0
NOV-00078,19,134.72,2,1,16,mensuel,carte,6.9,0.0,1,1
NOV-00079,37,139.05,2,1,11,bisannuel,carte,5.3,0.1,3,0
NOV-00080,61,120.63,3,0,14,mensuel,carte,7.5,0.05,2,0
NOV-00081,66,144.29,1,0,20,mensuel,carte,8.8,0.0,2,0
NOV-00082,70,36.01,1,1,23,annuel,prelevement,7.7,0.0,2,0
NOV-00083,46,39.6,1,0,18,annuel,prelevement,6.3,0.0,3,0
NOV-00084,34,59.57,4,1,16,bisannuel,carte,9.5,0.05,4,0
NOV-00085,71,57.84,3,0,17,annuel,prelevement,9.3,0.0,4,0
NOV-00086,31,108.31,2,1,21,bisannuel,carte,7.5,0.0,4,0
NOV-00087,6,86.37,1,1,23,mensuel,virement,6.2,0.05,4,0
NOV-00088,4,97.92,5,2,16,annuel,prelevement,6.2,0.0,2,0
NOV-00089,72,63.43,1,0,12,annuel,virement,5.7,0.0,1,0
NOV-00090,9,117.88,0,0,18,bisannuel,prelevement,5.7,0.0,3,0
NOV-00091,52,62.21,3,0,21,annuel,carte,2.8,0.0,3,0
NOV-00092,58,86.67,2,0,14,mensuel,carte,9.4,0.1,4,0
NOV-00093,51,100.44,3,0,16,mensuel,prelevement,8.5,0.05,4,0
NOV-00094,37,144.37,2,0,15,annuel,prelevement,6.8,0.0,4,0
NOV-00095,13,97.54,2,1,18,mensuel,prelevement,4.7,0.0,2,1
NOV-00096,21,147.98,2,1,14,mensuel,carte,7.2,0.1,1,0
NOV-00097,72,121.33,2,0,22,bisannuel,carte,4.5,0.0,1,0
NOV-00098,66,127.39,0,1,17,annuel,virement,6.1,0.0,4,0
NOV-00099,69,137.4,2,0,17,mensuel,virement,7.6,0.1,1,0
NOV-00100,48,28.97,2,0,23,annuel,prelevement,7.0,0.0,2,1
NOV-00101,34,110.07,0,0,14,mensuel,carte,10.0,0.0,2,0
NOV-00102,70,106.62,2,0,14,mensuel,carte,8.3,0.0,1,1
NOV-00103,12,33.42,2,1,18,mensuel,virement,9.2,0.0,2,0
NOV-00104,53,113.43,1,0,12,annuel,carte,7.8,0.0,1,0
NOV-00105,63,78.43,3,1,16,annuel,prelevement,5.4,0.05,4,0
NOV-00106,47,146.27,0,1,13,mensuel,carte,3.8,0.0,1,1
NOV-00107,60,86.05,1,0,12,mensuel,prelevement,8.6,0.0,1,0
NOV-00108,26,54.73,3,1,15,annuel,carte,9.0,0.1,3,0
NOV-00109,28,113.23,1,0,17,mensuel,prelevement,6.3,0.2,2,1
NOV-00110,19,111.52,1,0,19,annuel,carte,6.2,0.0,4,0
NOV-00111,55,65.67,2,0,18,annuel,prelevement,7.7,0.0,2,0
NOV-00112,34,104.55,3,1,19,mensuel,prelevement,9.5,0.2,3,0
NOV-00113,29,45.02,5,0,20,bisannuel,prelevement,7.5,0.1,2,0
NOV-00114,34,,2,0,18,mensuel,prelevement,9.4,0.2,3,0
NOV-00115,13,142.0,4,0,19,annuel,virement,5.0,0.05,2,0
NOV-00116,37,139.26,2,0,29,bisannuel,prelevement,3.5,0.0,1,0
NOV-00117,25,148.86,2,0,17,mensuel,carte,6.0,0.0,1,1
NOV-00118,46,82.84,1,2,25,mensuel,carte,7.3,0.05,2,1
NOV-00119,54,56.7,2,0,21,mensuel,prelevement,6.2,0.2,2,0
NOV-00120,22,100.11,2,0,19,mensuel,carte,7.7,0.0,1,0
NOV-00121,23,22.28,2,0,23,annuel,carte,5.3,0.0,4,0
NOV-00122,69,92.55,5,0,23,bisannuel,prelevement,7.3,0.05,3,0
NOV-00123,38,60.76,1,0,17,annuel,virement,8.1,0.0,1,0
NOV-00124,70,110.64,1,0,16,annuel,prelevement,8.4,0.0,1,0
NOV-00125,66,140.3,3,0,26,mensuel,prelevement,4.9,0.0,4,1
NOV-00126,69,53.13,0,1,18,mensuel,prelevement,7.6,0.1,3,0
NOV-00127,57,86.84,3,0,23,annuel,prelevement,10.0,0.0,1,0
NOV-00128,44,96.9,1,2,22,mensuel,prelevement,4.8,0.0,2,0
NOV-00129,43,44.46,1,0,13,annuel,virement,9.6,0.1,4,0
NOV-00130,2,80.95,1,1,17,bisannuel,virement,7.3,0.05,1,0
NOV-00131,31,122.04,3,0,22,mensuel,prelevement,6.8,0.0,3,1
NOV-00132,7,34.56,1,1,22,mensuel,prelevement,7.3,0.0,2,0
NOV-00133,25,133.25,3,3,20,bisannuel,virement,9.8,0.1,3,1
NOV-00134,53,114.84,2,1,15,mensuel,carte,6.6,0.0,1,0
NOV-00135,39,108.17,1,1,21,mensuel,carte,8.4,0.0,2,0
NOV-00136,67,98.31,1,0,13,mensuel,prelevement,8.4,0.1,4,0
NOV-00137,57,34.04,1,0,12,mensuel,carte,7.6,0.1,2,0
NOV-00138,23,83.79,1,0,19,bisannuel,carte,8.2,0.0,2,0
NOV-00139,22,143.39,0,0,28,annuel,prelevement,6.7,0.0,2,0
NOV-00140,17,144.83,0,0,17,mensuel,virement,10.0,0.0,3,0
NOV-00141,41,137.52,2,0,9,mensuel,carte,7.8,0.05,4,0
NOV-00142,1,101.98,0,0,18,mensuel,carte,4.9,0.05,2,0
NOV-00143,41,129.03,2,0,19,mensuel,prelevement,5.7,0.05,1,0
NOV-00144,57,22.0,1,1,16,mensuel,carte,2.3,0.0,2,0
NOV-00145,32,22.8,2,0,14,annuel,prelevement,5.6,0.0,3,0
NOV-00146,16,60.16,3,0,22,mensuel,virement,8.8,0.1,3,0
NOV-00147,23,19.35,0,1,19,mensuel,carte,9.4,0.0,1,0
NOV-00148,65,28.44,1,0,20,mensuel,carte,6.6,0.0,3,0
NOV-00149,20,101.28,3,1,16,mensuel,carte,8.5,0.0,4,0
NOV-00150,14,32.87,1,1,17,mensuel,carte,8.0,0.2,3,1
NOV-00151,65,86.53,1,0,22,bisannuel,carte,6.2,0.0,2,0
NOV-00152,3,110.14,4,1,32,annuel,virement,9.8,0.0,2,0
NOV-00153,38,128.35,1,0,14,annuel,carte,4.2,0.05,4,0
NOV-00154,50,,1,0,13,mensuel,carte,6.3,0.1,4,0
NOV-00155,32,83.73,2,0,17,annuel,carte,8.6,0.1,1,0
NOV-00156,35,45.09,0,0,16,bisannuel,carte,6.2,0.05,3,0
NOV-00157,47,25.71,2,0,11,mensuel,prelevement,7.3,0.1,3,0
NOV-00158,16,87.96,0,1,15,mensuel,carte,7.4,0.2,4,0
NOV-00159,3,94.12,2,1,15,mensuel,virement,8.0,0.0,4,0
NOV-00160,50,84.05,1,0,13,mensuel,carte,5.6,0.05,1,0
NOV-00161,7,140.44,1,1,34,mensuel,carte,8.3,0.0,3,1
NOV-00162,21,108.15,0,0,25,bisannuel,prelevement,5.0,0.0,2,0
NOV-00163,62,138.03,1,1,15,mensuel,prelevement,9.0,0.0,3,0
NOV-00164,17,35.32,2,0,27,mensuel,virement,5.1,0.0,2,0
NOV-00165,33,50.83,3,2,17,mensuel,prelevement,7.1,0.0,2,0
NOV-00166,15,55.19,2,1,20,mensuel,virement,10.0,0.0,3,0
NOV-00167,58,43.92,1,0,14,bisannuel,carte,7.7,0.0,1,0
NOV-00168,54,144.17,1,0,18,mensuel,carte,7.4,0.0,3,1
NOV-00169,9,125.81,4,1,27,mensuel,carte,7.5,0.1,4,1
NOV-00170,23,85.56,0,1,12,mensuel,prelevement,5.3,0.1,3,0
NOV-00171,70,53.09,1,0,20,mensuel,carte,5.9,0.1,1,1
NOV-00172,48,27.62,3,0,23,mensuel,prelevement,7.9,0.0,3,0
NOV-00173,12,106.53,0,1,20,mensuel,prelevement,6.4,0.1,4,1
NOV-00174,56,37.51,3,0,17,mensuel,prelevement,8.2,0.0,2,0
NOV-00175,70,53.18,2,0,17,annuel,carte,8.4,0.0,3,0
NOV-00176,52,99.13,2,0,21,mensuel,prelevement,7.9,0.05,3,0
NOV-00177,8,77.6,4,0,15,mensuel,carte,8.9,0.0,3,0
NOV-00178,46,55.04,3,1,19,annuel,prelevement,7.3,0.0,3,0
NOV-00179,24,35.23,1,0,16,mensuel,virement,5.8,0.1,2,1
NOV-00180,14,121.66,2,1,17,mensuel,prelevement,6.5,0.1,2,0
NOV-00181,2,94.6,2,0,18,bisannuel,prelevement,7.8,0.1,3,0
NOV-00182,53,,2,0,14,mensuel,prelevement,7.7,0.0,1,0
NOV-00183,69,34.25,2,1,14,mensuel,prelevement,8.2,0.0,4,0
NOV-00184,51,132.38,1,0,18,mensuel,carte,8.8,0.0,2,0
NOV-00185,40,75.82,0,0,18,mensuel,carte,5.2,0.0,3,0
NOV-00186,59,143.24,4,0,18,mensuel,prelevement,7.1,0.05,4,1
NOV-00187,44,,1,0,19,annuel,carte,10.0,0.1,3,1
NOV-00188,9,49.74,2,0,16,bisannuel,prelevement,5.3,0.05,2,0
NOV-00189,10,55.3,1,0,26,mensuel,carte,8.6,0.2,2,0
NOV-00190,38,97.42,1,0,21,annuel,virement,5.8,0.05,2,0
NOV-00191,71,57.1,1,2,18,annuel,carte,,0.0,4,0
NOV-00192,51,108.5,0,0,18,annuel,prelevement,9.7,0.0,4,0
NOV-00193,10,27.22,3,0,21,mensuel,carte,7.1,0.0,3,0
NOV-00194,12,117.58,1,0,9,mensuel,carte,8.7,0.1,4,0
NOV-00195,44,38.03,0,0,18,annuel,carte,6.9,0.0,2,0
NOV-00196,53,39.37,3,1,15,annuel,prelevement,7.8,0.05,3,0
NOV-00197,24,97.22,2,1,22,bisannuel,carte,6.8,0.0,1,0
NOV-00198,1,23.27,1,0,16,mensuel,carte,7.8,0.0,1,0
NOV-00199,19,88.62,2,0,15,annuel,prelevement,6.5,0.0,2,0
NOV-00200,24,139.33,2,0,20,mensuel,carte,8.6,0.0,1,0
NOV-00201,34,48.38,1,3,21,mensuel,prelevement,3.5,0.0,3,1
NOV-00202,33,147.35,4,0,15,annuel,prelevement,4.9,0.2,4,1
NOV-00203,40,23.13,4,1,18,bisannuel,carte,8.7,0.05,1,0
NOV-00204,52,136.68,2,2,25,mensuel,carte,6.5,0.0,3,1
NOV-00205,16,139.57,0,0,22,annuel,carte,7.2,0.0,4,0
NOV-00206,37,42.67,3,0,17,annuel,virement,7.7,0.0,3,0
NOV-00207,12,90.93,0,1,16,mensuel,prelevement,4.2,0.2,4,1
NOV-00208,71,78.61,1,0,11,mensuel,prelevement,5.8,0.0,1,0
NOV-00209,2,133.27,4,1,14,mensuel,carte,7.9,0.0,4,1
NOV-00210,38,119.39,0,0,17,bisannuel,prelevement,6.6,0.0,3,0
NOV-00211,68,68.5,2,1,18,bisannuel,prelevement,6.9,0.05,3,0
NOV-00212,70,127.61,1,0,12,mensuel,prelevement,6.7,0.1,1,0
NOV-00213,27,130.33,1,1,14,mensuel,carte,6.5,0.05,4,0
NOV-00214,51,107.12,0,0,13,bisannuel,prelevement,6.5,0.0,1,0
NOV-00215,38,88.29,0,0,14,mensuel,virement,7.2,0.0,4,1
NOV-00216,62,66.21,1,0,17,mensuel,virement,5.8,0.1,4,0
NOV-00217,65,73.56,4,0,18,annuel,prelevement,3.4,0.05,3,1
NOV-00218,58,47.26,3,0,25,annuel,prelevement,9.4,0.0,4,0
NOV-00219,7,110.14,3,1,25,bisannuel,prelevement,5.3,0.05,3,0
NOV-00220,10,130.46,4,0,20,annuel,prelevement,6.3,0.0,3,1
NOV-00221,68,65.8,0,0,20,mensuel,carte,6.2,0.0,1,0
NOV-00222,38,95.19,0,0,7,bisannuel,carte,10.0,0.0,1,0
NOV-00223,5,91.34,1,0,18,annuel,prelevement,6.4,0.2,3,1
NOV-00224,4,123.55,4,2,29,annuel,prelevement,7.8,0.05,2,1
NOV-00225,32,137.08,0,0,18,annuel,prelevement,7.0,0.0,1,0
NOV-00226,7,46.25,2,0,12,annuel,carte,5.3,0.0,4,0
NOV-00227,56,103.01,2,0,15,bisannuel,prelevement,6.6,0.0,1,0
NOV-00228,53,124.21,2,0,21,bisannuel,virement,6.5,0.05,3,0
NOV-00229,11,71.71,2,2,12,mensuel,carte,7.2,0.0,2,0
NOV-00230,12,131.02,2,0,21,mensuel,carte,8.3,0.0,2,0
NOV-00231,40,54.25,4,1,16,mensuel,prelevement,6.3,0.1,2,0
NOV-00232,8,136.31,3,0,18,mensuel,prelevement,8.1,0.0,4,0
NOV-00233,18,65.13,1,1,24,annuel,carte,10.0,0.1,3,0
NOV-00234,2,116.44,2,0,18,bisannuel,prelevement,5.1,0.05,1,0
NOV-00235,31,120.35,1,0,11,annuel,carte,6.2,0.1,1,0
NOV-00236,64,80.01,3,0,14,bisannuel,virement,4.5,0.0,3,1
NOV-00237,62,87.34,0,0,13,mensuel,carte,8.0,0.0,1,0
NOV-00238,22,118.11,1,0,21,mensuel,prelevement,10.0,0.0,1,0
NOV-00239,71,56.37,1,0,15,mensuel,prelevement,5.8,0.0,1,0
NOV-00240,59,121.09,2,0,20,bisannuel,prelevement,3.5,0.0,1,0
NOV-00241,43,104.83,3,1,11,annuel,carte,10.0,0.0,2,0
NOV-00242,26,33.61,1,0,20,annuel,carte,4.8,0.1,2,0
NOV-00243,52,128.43,2,0,15,bisannuel,carte,7.0,0.0,3,1
NOV-00244,63,39.41,0,0,19,annuel,virement,8.1,0.0,4,0
NOV-00245,17,125.72,3,0,21,mensuel,carte,9.8,0.05,4,0
NOV-00246,65,67.36,0,0,22,mensuel,prelevement,7.5,0.0,3,0
NOV-00247,9,97.79,1,0,14,annuel,prelevement,8.2,0.0,3,0
NOV-00248,13,102.15,0,0,13,mensuel,prelevement,5.8,0.0,3,0
NOV-00249,21,62.87,2,1,20,annuel,prelevement,1.6,0.0,3,1
NOV-00250,14,102.55,1,1,26,mensuel,carte,6.3,0.1,3,1
NOV-00251,28,122.81,1,0,23,bisannuel,virement,6.9,0.0,4,0
NOV-00252,42,82.08,1,1,13,mensuel,carte,6.0,0.2,2,0
NOV-00253,58,,2,1,22,annuel,prelevement,6.3,0.05,1,0
NOV-00254,58,103.28,2,1,13,mensuel,carte,7.0,0.1,2,1
NOV-00255,60,87.49,2,0,19,mensuel,carte,8.7,0.1,1,0
NOV-00256,56,79.54,1,0,11,mensuel,carte,8.8,0.0,3,0
NOV-00257,5,30.11,1,0,17,mensuel,prelevement,6.5,0.0,2,0
NOV-00258,19,134.9,0,0,17,annuel,virement,8.2,0.05,2,0
NOV-00259,2,41.52,2,1,14,mensuel,prelevement,7.4,0.0,4,0
NOV-00260,68,91.31,2,1,27,mensuel,carte,7.2,0.0,4,0
NOV-00261,72,126.98,1,0,18,annuel,virement,7.2,0.0,4,0
NOV-00262,41,60.18,2,1,26,annuel,carte,,0.0,3,0
NOV-00263,55,24.48,1,0,22,mensuel,virement,6.9,0.0,4,0
NOV-00264,9,75.53,2,1,21,annuel,prelevement,8.0,0.05,4,0
NOV-00265,63,52.73,1,0,23,annuel,carte,8.6,0.05,1,0
NOV-00266,24,44.17,1,0,25,mensuel,carte,5.6,0.1,3,0
NOV-00267,13,95.58,1,0,21,mensuel,virement,5.7,0.0,3,0
NOV-00268,20,143.11,0,1,20,mensuel,prelevement,7.5,0.05,2,1
NOV-00269,71,51.32,0,2,22,mensuel,prelevement,4.8,0.0,3,0
NOV-00270,62,112.22,3,0,23,mensuel,carte,7.3,0.2,3,0
NOV-00271,52,21.08,1,0,26,mensuel,prelevement,7.2,0.05,1,0
NOV-00272,2,41.0,4,0,14,annuel,prelevement,9.8,0.0,1,0
NOV-00273,72,47.28,2,0,16,mensuel,virement,4.4,0.0,4,0
NOV-00274,5,50.71,2,1,13,mensuel,prelevement,4.0,0.0,3,1
NOV-00275,49,65.58,1,0,15,annuel,prelevement,5.6,0.0,2,0
NOV-00276,2,68.77,1,1,16,annuel,carte,9.7,0.0,3,0
NOV-00277,37,116.76,2,0,15,mensuel,prelevement,4.9,0.0,2,1
NOV-00278,66,139.09,5,0,17,mensuel,carte,4.6,0.05,3,1
NOV-00279,2,56.68,0,1,22,mensuel,prelevement,8.5,0.0,1,0
NOV-00280,19,107.22,1,0,18,mensuel,prelevement,6.9,0.0,3,0
NOV-00281,42,21.52,3,1,18,mensuel,carte,7.1,0.1,2,0
NOV-00282,38,104.06,1,1,16,mensuel,prelevement,7.6,0.0,4,0
NOV-00283,30,44.48,2,2,13,mensuel,prelevement,2.8,0.0,3,1
NOV-00284,53,35.74,3,0,20,mensuel,carte,5.0,0.05,4,0
NOV-00285,40,141.96,1,1,12,mensuel,carte,8.4,0.05,4,0
NOV-00286,62,134.09,3,1,18,annuel,prelevement,8.5,0.1,1,0
NOV-00287,29,83.9,4,0,16,mensuel,prelevement,6.7,0.0,4,0
NOV-00288,50,79.51,1,0,24,annuel,carte,8.8,0.0,4,0
NOV-00289,24,77.19,1,0,19,mensuel,prelevement,4.0,0.0,2,1
NOV-00290,57,135.06,0,0,15,mensuel,carte,9.3,0.0,3,0
NOV-00291,31,79.73,2,1,20,annuel,carte,5.0,0.0,1,0
NOV-00292,71,83.0,0,1,15,mensuel,prelevement,6.7,0.0,2,0
NOV-00293,34,129.3,3,0,14,annuel,prelevement,9.0,0.0,3,1
NOV-00294,45,106.32,2,0,22,mensuel,carte,6.1,0.05,3,1
NOV-00295,4,115.21,3,0,24,annuel,prelevement,5.4,0.0,3,1
NOV-00296,26,104.67,1,0,15,bisannuel,prelevement,6.2,0.0,2,0
NOV-00297,69,50.39,1,1,18,mensuel,carte,5.0,0.0,4,0
NOV-00298,38,146.86,3,1,19,mensuel,prelevement,7.0,0.1,4,0
NOV-00299,4,69.85,3,0,14,annuel,carte,9.3,0.0,3,0
NOV-00300,17,130.84,0,1,17,mensuel,prelevement,6.2,0.05,1,0
NOV-00301,19,44.6,0,0,17,mensuel,virement,6.3,0.0,3,0
NOV-00302,47,71.07,1,0,21,annuel,carte,5.9,0.0,1,0
NOV-00303,63,74.28,1,0,16,annuel,prelevement,,0.05,3,0
NOV-00304,59,134.49,3,0,14,mensuel,prelevement,7.8,0.0,1,1
NOV-00305,12,49.23,5,0,23,mensuel,prelevement,8.8,0.05,2,0
NOV-00306,30,110.27,0,0,20,annuel,virement,5.9,0.0,2,0
NOV-00307,40,143.9,1,1,18,annuel,carte,8.5,0.0,4,0
NOV-00308,66,96.2,1,0,17,annuel,prelevement,6.1,0.1,1,0
NOV-00309,42,146.06,1,1,15,mensuel,prelevement,7.0,0.0,1,1
NOV-00310,40,131.23,0,2,21,bisannuel,carte,8.1,0.2,2,0
NOV-00311,9,148.91,2,0,6,bisannuel,prelevement,5.4,0.0,4,1
NOV-00312,7,73.23,2,1,10,mensuel,carte,4.2,0.0,4,1
NOV-00313,57,126.18,0,1,27,annuel,prelevement,5.6,0.0,3,0
NOV-00314,11,88.46,1,0,18,mensuel,carte,6.4,0.1,3,0
NOV-00315,8,107.07,2,0,32,bisannuel,carte,7.7,0.0,1,0
NOV-00316,50,138.56,0,0,14,bisannuel,prelevement,7.7,0.05,1,0
NOV-00317,53,82.65,4,0,18,mensuel,prelevement,9.2,0.0,2,0
NOV-00318,52,127.26,1,0,22,bisannuel,virement,8.5,0.0,1,0
NOV-00319,41,59.84,4,1,15,annuel,carte,3.9,0.0,2,1
NOV-00320,56,84.12,0,0,22,bisannuel,prelevement,7.3,0.0,2,0
NOV-00321,32,103.08,1,1,23,mensuel,prelevement,4.0,0.0,4,0
NOV-00322,4,20.83,3,0,10,annuel,virement,5.7,0.1,3,0
NOV-00323,58,50.65,1,0,18,annuel,carte,6.8,0.0,1,0
NOV-00324,45,132.22,1,0,17,annuel,prelevement,8.0,0.0,1,0
NOV-00325,59,133.58,0,0,21,mensuel,carte,8.9,0.0,1,0
NOV-00326,59,49.91,0,0,13,mensuel,carte,8.8,0.05,2,0
NOV-00327,48,85.88,0,2,12,annuel,carte,10.0,0.05,2,0
NOV-00328,29,22.13,0,0,20,mensuel,virement,6.1,0.0,4,0
NOV-00329,36,128.89,1,0,23,annuel,carte,8.1,0.1,4,0
NOV-00330,63,20.77,0,0,11,annuel,carte,7.1,0.0,2,0
NOV-00331,68,39.03,3,0,25,mensuel,carte,9.8,0.1,4,0
NOV-00332,24,74.87,2,0,16,annuel,prelevement,8.1,0.0,3,0
NOV-00333,8,142.21,2,0,22,annuel,carte,5.4,0.05,3,1
NOV-00334,34,51.88,1,0,25,bisannuel,prelevement,7.5,0.05,1,0
NOV-00335,41,141.87,4,1,20,mensuel,prelevement,7.3,0.0,1,1
NOV-00336,27,94.22,4,0,24,annuel,prelevement,7.5,0.2,1,0
NOV-00337,61,120.93,5,1,21,bisannuel,carte,6.2,0.05,4,0
NOV-00338,53,101.44,3,0,20,mensuel,prelevement,8.0,0.0,4,0
NOV-00339,63,138.98,2,0,20,mensuel,prelevement,4.7,0.0,3,0
NOV-00340,10,24.53,3,0,16,mensuel,carte,7.9,0.0,2,0
NOV-00341,56,84.48,1,0,24,annuel,prelevement,6.3,0.0,2,0
NOV-00342,19,39.77,1,1,18,mensuel,prelevement,5.1,0.0,1,0
NOV-00343,34,137.05,0,0,10,mensuel,prelevement,7.8,0.0,1,0
NOV-00344,47,19.55,0,0,19,mensuel,prelevement,6.5,0.2,1,0
NOV-00345,38,91.46,4,1,11,mensuel,virement,3.1,0.05,3,1
NOV-00346,28,73.68,3,0,14,mensuel,carte,6.9,0.0,3,0
NOV-00347,23,105.13,1,0,14,annuel,prelevement,4.9,0.1,4,0
